My dad's being stupid about brokeback mountain...,0
"Oh, and Brokeback Mountain was a terrible movie.",0
da vinci code sucks...,0
The Da Vinci Code was absolutely AWESOME!,1
I just have to say that the new Mission Impossible 3 is AWESOME!!,1
the last stand and Mission Impossible 3 both were awesome movies.,1
Harry Potter sucks.....,0
These Harry Potter movies really suck.,0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
Brokeback Mountain was boring.,0
I love Harry Potter.,1
These Harry Potter movies really suck.,0
Brokeback mountain was beautiful...,1
Da Vinci Code sucks.,0
brokeback mountain sucks..,0
Brokeback Mountain is fucking horrible..,0
I love Brokeback Mountain.,1
The Da Vinci Code sucks.,0
Brokeback mountain was beautiful...,1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
i heard da vinci code sucked soo much only 2.5 stars:,0
"Always knows what I want, not guy crazy, hates Harry Potter..",0
Harry Potter is AWESOME I don't care if anyone says differently!..,1
The Da Vinci Code sucked big time.,0
Brokeback Mountain was beautiful...,1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
And they all involved Harry Potter * is lame *..,0
My dad's being stupid about brokeback mountain...,0
i heard da vinci code sucked soo much only 2.5 stars:,0
This quiz sucks and Harry Potter sucks ok bye..,0
the da vinci code sucks majorly....,0
My dad's being stupid about brokeback mountain...,0
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
"The Da Vinci Code was awesome, I can't wait to read it...",1
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
man i loved brokeback mountain!,1
I wanted desperately to love'The Da Vinci Code as a film.,1
Ok brokeback mountain is such a horrible movie.,0
I am going to start reading the Harry Potter series again because that is one awesome story.,1
I loved the da vinci code....,1
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
